callsign,flowntime[s],flowndistance[NM],fuel[kg],CO2[t],H2O[t],Soot[t],SOx[t],NOx[t],CO[t],HC[t]
BAW19V,86399.0,3667.65610722,30851.324917117665,97.49018673809246,37.94712964805456,0.0009255397475135291,0.03702158990054148,0.4125171044248729,0.06530882181670744,0.005379950686138993
DLH402,86227.0,3443.74501084,29360.488970294075,92.77914514612824,36.11340143346129,0.0008808146691088241,0.03523258676435288,0.38849121763173844,0.07044804993840122,0.00596490838379436
NRS7151,86399.0,3465.2122777,30025.8364391851,94.88164314782452,36.93177882019745,0.0009007750931755519,0.036031003727022046,0.4020657392001835,0.0694451345985658,0.005975006774802537
SWR8T,86399.0,3246.12545377,81958.94452983045,258.9902647142672,100.80950177169177,0.0024587683358949365,0.0983507334357967,1.2842825751866978,0.15486505829706942,0.0038025266428059405
DAL19,86399.0,3161.83249592,80726.51340599454,255.0957823629447,99.29361148937328,0.002421795402179842,0.09687181608719354,1.2620114128114635,0.15447012504467755,0.00385543686385883
AFR344,83983.0,3022.5172219,26941.03510415139,85.1336709291188,33.137473178106454,0.0008082310531245538,0.03232924212498162,0.35891985663980674,0.06493683213540608,0.00554259313924444
BAW281,86399.0,3323.45635953,28734.24447497266,90.80021254091325,35.34312070421642,0.0008620273342491849,0.034481093369967325,0.3887622503518224,0.06067114793644662,0.005120114253254632
AFR356,86399.0,3212.8671004,27728.91977097505,87.62338647628171,34.106571318299274,0.0008318675931292526,0.033274703725169975,0.37256662766994636,0.060939979462167226,0.005144742113318529
EIN1GE,85325.0,2895.78246074,69627.34981825172,220.0224254256766,85.64164027644972,0.0020888204945475617,0.0835528197819026,1.1471530508683947,0.1563320388620557,0.006213328956453697
NRS7109,86399.0,3153.18474266,26522.494843218603,83.81108370456987,32.62266865715877,0.0007956748452965543,0.031826993811862284,0.3688238372798765,0.055741155835300586,0.005045449539845989
NAX1WA,86399.0,3187.94498155,26099.147894437603,82.47330734642244,32.101951910158256,0.0007829744368331325,0.03131897747332497,0.35848108920191013,0.05458802616150158,0.004712922911542718
AFR378,86399.0,2768.54267702,25269.095840733243,79.85034285671645,31.080987884101564,0.0007580728752219947,0.030322915008879927,0.34362372777692124,0.0525716333623572,0.004401931938534263
DLH8P,86399.0,2753.92188269,25242.925377778853,79.76764419378111,31.04879821466796,0.0007572877613333629,0.030291510453334534,0.3451204405494173,0.052567995915272746,0.004443143218492776
AFR334,86399.0,2774.9870436,25257.4805433518,79.81363851699211,31.066701068323066,0.0007577244163005597,0.03030897665202236,0.3458284906147757,0.05171873336232042,0.00433515646711903
DLH4J,86399.0,2774.7830098,68263.61677253466,215.71302900120986,83.96424863021772,0.002047908503176033,0.08191634012704227,1.1338609879327544,0.12355975444466456,0.002990721917605718
VIR41R,86399.0,2522.52435306,23746.047088205184,75.03750879872791,29.207637918492125,0.0007123814126461516,0.028495256505846035,0.3350175700910997,0.04782672881082857,0.004212377157175355
EIN12C,86399.0,2290.54408112,61820.60996394612,195.35312748606927,76.03935025565501,0.0018546182989183895,0.07418473195673535,1.028316211121322,0.11087749633562141,0.002765584623811167
BAW297,86399.0,2229.69158682,22872.955628686736,72.27853978664987,28.13373542328476,0.0006861886688606008,0.027447546754423877,0.32058540263103763,0.046139426538557696,0.00397768005737821
AAL91,86399.0,2498.75902299,21830.238379619377,68.98355327959814,26.851193206931963,0.0006549071513885884,0.026196286055543607,0.3170738285666666,0.0443056298948704,0.004401007122194382
SWR18,86399.0,2165.71581318,57213.846409870285,180.7957546551888,70.37303108413984,0.0017164153922961062,0.06865661569184346,0.9375957803691888,0.1017956140204251,0.0024749358456568425
CFGRS,86399.0,3454.02241417,21597.717688453475,68.24878789551258,26.565192756797536,0.0006479315306536029,0.025917261226143993,0.3156205662469794,0.04327796431943862,0.00404024583866023
NAX19M,86399.0,2351.79414944,20513.179852925592,64.82164833524544,25.23121121909847,0.0006153953955877699,0.02461581582351095,0.2925719444128781,0.04171386943764662,0.003814586472899579
SWR52,86399.0,2147.01999322,53989.34114623972,170.60631802211682,66.4068896098747,0.001619680234387187,0.06478720937548728,0.8964037738903121,0.09610217923934487,0.002388789155576262
NAX9V,86399.0,2055.69409486,19398.396653450277,61.29893342490272,23.860027883743648,0.0005819518996035047,0.023278075984140154,0.27964750930360827,0.03904319568742615,0.0036720478839391913
AFR008,86399.0,2016.79134757,19251.692714006996,60.83534897626197,23.679582038228514,0.0005775507814202047,0.023102031256808264,0.27573672507559416,0.0383700891349032,0.003450068340500054
NAX7149,86399.0,1944.36349712,18842.7474132915,59.54308182600102,23.176579318348296,0.0005652824223987427,0.022611296895949685,0.2727815759460042,0.037753476945305446,0.003574186904223624
AFR348,86399.0,1815.42192454,18284.474334474005,57.77893889693788,22.48990343140301,0.0005485342300342229,0.02194136920136894,0.2615100133113234,0.03521044381128081,0.0030432207747797323
